Gastag;SLPsyn H-Gas;SLPana H-Gas;SLPsyn L-Gas;SLPana L-Gas;RLMmT H-Gas;RLMmT L-Gas;RLMoT H-Gas;RLMoT L-Gas;Status
26.12.2021;1.558.682.760;304.561.584;399.437.496;94.279.536;1.323.724.032;198.493.008;101.996.432;8.241.872;final
25.12.2021;1.513.677.096;325.079.640;374.716.656;111.076.800;1.300.287.408;195.689.088;101.253.685;5.455.418;final
24.12.2021;1.400.299.104;319.309.632;328.658.568;120.387.024;1.212.653.160;175.047.888;95.957.379;1.231.146;final
23.12.2021;1.635.335.976;328.255.464;398.138.016;114.334.608;1.489.535.160;219.543.984;105.492.466;7.724.299;final
22.12.2021;1.738.054.704;314.148.624;424.359.888;103.150.968;1.835.774.856;257.519.976;118.730.653;9.154.031;final
21.12.2021;1.637.462.640;284.816.928;394.929.672;91.217.928;1.943.119.032;260.988.888;120.553.749;11.924.372;final
20.12.2021;1.394.152.128;266.850.792;322.413.000;85.522.752;1.864.037.136;247.382.616;116.015.184;11.160.170;final
19.12.2021;1.140.786.096;242.693.136;245.705.400;78.607.344;1.355.248.104;198.660.264;104.247.182;1.250.926;final
18.12.2021;1.065.161.832;236.653.080;222.269.328;75.797.784;1.428.079.440;196.715.304;104.286.161;1.271.213;final
17.12.2021;1.061.160.480;238.577.064;231.882.048;78.679.968;1.660.189.872;225.187.248;107.773.074;5.583.185;final
16.12.2021;1.087.393.776;240.796.320;235.223.520;82.692.648;1.694.478.504;231.261.816;100.482.231;9.080.723;final
15.12.2021;1.092.807.144;241.910.112;239.284.560;83.995.872;1.691.927.328;230.985.456;93.520.228;8.308.101;final
14.12.2021;1.157.818.896;270.567.984;256.789.224;92.622.384;1.734.465.384;237.210.168;95.863.557;9.479.383;final
13.12.2021;1.221.362.760;293.520.792;266.473.128;103.879.008;1.706.904.984;241.767.504;94.162.602;9.873.820;final
12.12.2021;1.375.497.816;304.814.616;313.383.192;104.853.096;1.418.007.552;215.772.840;97.129.361;7.044.156;final
11.12.2021;1.483.907.328;312.263.784;353.371.128;104.679.672;1.569.522.120;228.341.424;104.525.922;10.256.523;final
10.12.2021;1.512.376.128;309.881.328;355.915.248;101.703.240;1.851.420.648;261.255.336;115.113.388;12.297.620;final
09.12.2021;1.492.009.416;311.717.016;350.650.368;102.340.272;1.912.039.632;265.718.808;121.240.981;6.701.297;final
08.12.2021;1.483.389.312;310.164.072;347.348.400;102.572.808;1.823.234.208;265.334.424;119.806.620;5.623.143;final
07.12.2021;1.501.543.440;300.816.192;355.648.416;98.379.384;1.816.488.528;266.918.736;112.061.498;7.861.057;final
06.12.2021;1.507.268.184;294.841.632;362.260.368;98.404.056;1.873.094.952;266.311.920;109.310.065;9.402.420;final
05.12.2021;1.386.563.856;300.129.360;334.943.544;104.094.936;1.538.820.168;223.188.144;107.093.412;7.810.483;final
04.12.2021;1.329.805.608;292.007.112;329.870.760;102.184.320;1.493.187.864;220.327.872;98.825.207;9.044.865;final
03.12.2021;1.447.319.256;277.372.608;347.826.408;92.217.600;1.677.866.160;266.216.616;109.778.222;7.749.932;final
02.12.2021;1.367.218.896;286.045.560;328.409.352;95.648.904;1.815.862.080;277.076.328;109.830.135;10.038.967;final
01.12.2021;1.223.715.888;280.544.016;284.948.616;101.507.568;1.535.506.056;260.857.032;86.442.638;3.762.094;final
30.11.2021;1.418.486.520;280.105.464;325.564.632;97.595.976;1.645.656.864;258.750.456;102.036.812;4.380.865;final
29.11.2021;1.549.780.680;277.970.016;371.683.656;97.125.216;1.824.350.040;272.283.288;108.599.002;9.115.018;final
28.11.2021;1.488.338.664;271.999.368;352.598.856;96.774.552;1.544.210.640;223.999.128;103.755.297;9.156.639;final
27.11.2021;1.416.795.984;265.711.272;341.154.816;93.794.760;1.538.903.400;215.460.192;103.124.563;9.927.902;final
26.11.2021;1.438.396.992;250.817.064;340.915.176;90.858.888;1.665.577.224;249.268.776;110.756.701;8.294.726;final
25.11.2021;1.413.418.536;254.082.384;327.345.192;92.507.376;1.813.216.872;255.705.192;112.254.353;9.504.699;final
24.11.2021;1.314.354.264;246.970.104;299.507.520;88.060.464;1.823.374.896;250.899.456;112.402.401;9.682.631;final
23.11.2021;1.276.534.176;209.582.688;296.007.144;76.352.520;1.819.878.528;254.146.128;114.112.240;9.327.891;final
22.11.2021;1.170.894.192;187.483.608;284.385.696;69.888.792;1.720.085.136;256.916.256;112.425.689;6.058.919;final
21.11.2021;992.823.336;195.018.744;223.886.688;68.286.360;1.337.714.808;203.414.904;91.593.546;4.463.185;final
20.11.2021;894.757.272;219.352.872;194.220.264;74.859.936;1.203.688.536;191.740.704;80.623.334;988.797;final
19.11.2021;929.355.672;234.300.000;205.891.080;79.800.480;1.375.220.160;223.277.568;86.205.154;3.880.009;final
18.11.2021;1.046.406.096;232.909.632;246.753.024;81.734.208;1.434.720.552;242.318.424;91.745.086;4.026.372;final
17.11.2021;1.079.940.288;228.838.368;260.052.600;78.886.920;1.563.451.680;246.604.800;103.097.238;7.083.032;final
16.11.2021;1.118.622.672;216.674.136;274.620.984;73.415.568;1.714.843.728;253.306.608;116.229.008;9.146.681;final
15.11.2021;1.070.650.632;215.662.656;261.407.088;75.062.736;1.733.771.496;246.256.416;108.689.146;9.525.481;final
14.11.2021;1.022.196.600;223.839.408;234.937.152;80.828.520;1.323.334.656;202.193.808;100.125.061;6.388.241;final
13.11.2021;1.073.603.400;228.304.560;237.563.928;82.172.832;1.359.966.672;200.719.176;98.512.714;5.168.925;final
12.11.2021;1.178.251.200;230.068.104;267.036.120;81.135.384;1.597.771.992;234.584.208;98.359.431;7.635.338;final
