,slp,rlm,industry,gas_to_electricity_public,electricity_from_gas,gas_price [€/MWh],producing_sector,manufacturing_sector,hospitality_sector,retail_sector,residential,commercial,decentral_chp,industry_buildings,aggregated,solar,temperature,temp_inertia,index,time,year,month,weekday,weekday_num,monday,friday,weekend,christmas_period,holiday,bridgeday
2017-08-06,0.254034944,1.025864397,0.6656445107912539,0.17073675998407203,0.1090346778164705,,103.6,102.2,109.5,103.1,0.21848539222582372,0.04181833379555936,0.006400765376871331,0.010667942294785552,0.2603037260213831,2.1234583045929214e-10,289.4141193691348,290.81352861646866,2017-08-06,217.0,2017,8,Sunday,6,0,0,1,0,0,0
2017-08-07,0.251945496,1.236687924,0.7310587828091399,0.29752511362813305,0.19000334145838677,,103.6,102.2,109.5,103.1,0.21938264098606408,0.04530666846225555,0.006934694152386054,0.01155782358731009,0.26468930944831964,2.6622471946589214e-10,290.8119260880003,290.68366094268606,2017-08-07,218.0,2017,8,Monday,0,1,0,0,0,0,0
2017-08-08,0.24653171999999998,1.2447866859999999,0.7208675619239711,0.3187161410829815,0.203536202520966,,103.6,102.2,109.5,103.1,0.2150676312369008,0.04411061390484778,0.00675162457727262,0.0112527076287877,0.2591782451417486,1.8476957678840478e-10,291.2873295825756,290.9205290351348,2017-08-08,219.0,2017,8,Tuesday,1,0,0,0,0,0,0
2017-08-09,0.25062816,1.20974158,0.7305243433366185,0.27126534325092466,0.17323351636108186,,103.6,102.2,109.5,103.1,0.2146469625755739,0.04371258046708161,0.006690701091900246,0.011151168486500412,0.2583595430426555,1.9636644804542934e-10,291.2699025462956,291.0897670301796,2017-08-09,220.0,2017,8,Wednesday,2,0,0,0,0,0,0
2017-08-10,0.295039528,1.30342352,0.715447568672061,0.38431582980049234,0.2454290024361208,,103.6,102.2,109.5,103.1,0.249721577980753,0.05488574519120407,0.008400879366000624,0.014001465610001039,0.3046073231719571,9.695144861068082e-11,288.7789165333309,289.9131681047816,2017-08-10,221.0,2017,8,Thursday,3,0,0,0,0,0,0
2017-08-11,0.341428944,1.270933142,0.6634458326737729,0.41863006132409974,0.2673425093988004,,103.6,102.2,109.5,103.1,0.3039452178994279,0.07062334534950206,0.01080969571676052,0.018016159527934197,0.37456856324892995,6.257517608516955e-11,287.4305864823058,288.55916583211484,2017-08-11,222.0,2017,8,Friday,4,0,1,0,0,0,0
2017-08-12,0.363012168,1.033311818,0.6752127734543574,0.16589220574984165,0.10594088354426452,,103.6,102.2,109.5,103.1,0.31680642715014523,0.06929517299369958,0.010606404029647893,0.017677340049413157,0.3861016001438448,9.645535632058064e-11,287.9082348518711,288.12106350068285,2017-08-12,223.0,2017,8,Saturday,5,0,0,1,0,0,0
2017-08-13,0.334727104,1.032458997,0.6988927600800781,0.13461862610233044,0.08596917574477118,,103.6,102.2,109.5,103.1,0.27115831603743246,0.0559325885664131,0.008561110494859149,0.014268517491431914,0.32709090460384554,1.7221981120806467e-10,289.8400016500619,288.932869542202,2017-08-13,224.0,2017,8,Sunday,6,0,0,1,0,0,0
2017-08-14,0.28637332000000004,1.1916890370000002,0.7514413820567117,0.22634149341355314,0.14454457149794717,,103.6,102.2,109.5,103.1,0.22749186949467134,0.047414212661190676,0.0072572774481414306,0.01209546241356905,0.27490608215586204,2.202069208759474e-10,291.55680070410597,290.33743146752414,2017-08-14,225.0,2017,8,Monday,0,1,0,0,0,0,0
2017-08-15,0.226020048,1.173654242,0.7738526981811416,0.17951575146032162,0.11464105401369781,,103.6,102.2,109.5,103.1,0.19053905074813027,0.03607275786619572,0.005521340489723835,0.009202234149539726,0.226611808614326,2.213101407470363e-10,293.8362395455305,292.3003583809266,2017-08-15,226.0,2017,8,Tuesday,1,0,0,0,0,1,0
2017-08-16,0.22522547199999998,1.2495598239999999,0.7615136986224547,0.2712727667174184,0.1732382570816947,,103.6,102.2,109.5,103.1,0.1880942967054558,0.034974407475770304,0.0053532256340464756,0.008922042723410791,0.2230687041812261,1.9143937784611334e-10,292.31408000913257,292.4540793569198,2017-08-16,227.0,2017,8,Wednesday,2,0,0,0,0,0,0
2017-08-17,0.214253448,1.2394612280000001,0.7396490809448848,0.28926279541989214,0.18472691941584157,,103.6,102.2,109.5,103.1,0.18473956080856874,0.03396324155985966,0.005198455340794846,0.008664092234658076,0.2187028023684284,1.734622492753992e-10,292.8306627360849,292.74205964513624,2017-08-17,228.0,2017,8,Thursday,3,0,0,0,0,0,0
