"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 25, 2021","45.280","45.830","46.130","44.770","1.00K","0.91%"
"Aug 24, 2021","44.870","43.620","45.070","43.620","0.16K","7.65%"
"Aug 23, 2021","41.680","42.270","43.530","40.610","0.59K","-0.62%"
"Aug 20, 2021","41.940","41.570","42.620","40.900","0.52K","3.81%"
"Aug 19, 2021","40.400","44.380","44.480","40.100","0.80K","-10.97%"
"Aug 18, 2021","45.380","46.400","47.520","42.800","0.63K","-3.34%"
"Aug 17, 2021","46.950","46.850","47.980","46.670","0.52K","-2.17%"
"Aug 16, 2021","47.990","46.250","48.220","46.250","0.42K","7.53%"
"Aug 13, 2021","44.630","44.410","45.400","44.380","0.76K","-2.70%"
"Aug 12, 2021","45.870","46.150","46.520","45.330","0.77K","-0.24%"
"Aug 11, 2021","45.980","44.980","46.520","44.580","0.52K","2.96%"
"Aug 10, 2021","44.660","44.390","45.020","44.220","0.89K","4.39%"
"Aug 09, 2021","42.780","43.090","43.570","42.450","1.22K","-0.79%"
"Aug 06, 2021","43.120","43.900","44.570","42.670","1.14K","0.51%"
"Aug 05, 2021","42.900","41.570","43.200","41.200","1.26K","1.51%"
"Aug 04, 2021","42.260","41.540","42.260","41.540","0.78K","2.47%"
"Aug 03, 2021","41.240","41.590","42.180","41.120","0.93K","-2.18%"
"Aug 02, 2021","42.160","42.100","42.690","41.810","1.36K","3.43%"
"Jul 30, 2021","40.760","40.510","40.850","39.420","0.39K","-0.95%"
"Jul 29, 2021","41.150","40.350","40.880","40.050","0.72K","3.65%"
"Jul 28, 2021","39.700","38.470","39.720","38.410","0.51K","5.61%"
"Jul 27, 2021","37.590","37.700","37.700","37.260","0.56K","1.84%"
"Jul 26, 2021","36.910","36.140","37.020","35.910","0.17K","3.91%"
"Jul 23, 2021","35.520","35.810","35.940","35.100","0.53K","-1.69%"
"Jul 22, 2021","36.130","35.670","36.440","35.650","0.59K","0.50%"
"Jul 21, 2021","35.950","35.500","36.200","35.460","0.37K","2.25%"
"Jul 20, 2021","35.160","35.090","35.310","34.620","0.52K","-1.37%"
"Jul 19, 2021","35.650","36.450","36.810","35.620","0.42K","2.32%"
"Jul 16, 2021","34.840","35.100","35.520","34.600","0.46K","3.08%"
"Jul 15, 2021","33.800","34.200","34.600","33.610","0.46K","-2.79%"
"Jul 14, 2021","34.770","34.840","35.170","33.410","0.62K","-1.97%"
"Jul 13, 2021","35.470","34.300","35.840","34.150","0.94K","2.37%"
"Jul 12, 2021","34.650","35.230","36.150","34.400","1.14K","-5.41%"
"Jul 09, 2021","36.630","35.840","36.850","35.560","0.66K","9.97%"
"Jul 08, 2021","33.310","32.290","33.880","31.470","1.19K","3.00%"
"Jul 07, 2021","32.340","34.310","36.230","32.340","1.15K","-5.16%"
"Jul 06, 2021","34.100","37.250","38.370","33.080","1.43K","-4.83%"
"Jul 02, 2021","35.830","34.920","36.870","34.920","1.21K","-0.89%"
"Jul 01, 2021","36.150","35.500","36.950","35.450","0.63K","4.42%"
"Jun 30, 2021","34.620","33.880","34.920","33.740","1.46K","3.37%"
"Jun 29, 2021","33.490","32.850","33.830","32.850","0.30K","3.72%"
"Jun 28, 2021","32.290","32.100","32.380","31.750","0.79K","-0.28%"
"Jun 25, 2021","32.380","31.950","32.400","31.950","0.55K","1.12%"
"Jun 24, 2021","32.020","31.550","32.020","31.410","0.95K","1.49%"
"Jun 23, 2021","31.550","31.350","31.680","30.570","0.55K","2.67%"
"Jun 22, 2021","30.730","30.050","30.840","29.990","0.59K","3.78%"
"Jun 21, 2021","29.610","29.970","30.200","29.300","0.70K","0.68%"
"Jun 18, 2021","29.410","28.930","29.610","28.800","0.60K","3.89%"
"Jun 17, 2021","28.310","27.800","28.670","27.700","1.08K","1.00%"
"Jun 16, 2021","28.030","28.000","28.770","27.740","1.30K","-0.39%"
"Jun 15, 2021","28.140","28.300","28.700","27.910","1.01K","-2.33%"
"Jun 14, 2021","28.810","29.100","29.320","28.570","0.86K","3.48%"
"Jun 11, 2021","27.840","28.500","28.590","27.700","0.46K","-2.93%"
"Jun 10, 2021","28.680","28.270","28.730","27.700","0.68K","1.34%"
"Jun 09, 2021","28.300","27.900","28.430","27.800","0.69K","1.80%"
"Jun 08, 2021","27.800","27.480","27.850","27.350","0.64K","4.95%"
"Jun 07, 2021","26.490","25.900","26.660","25.900","0.36K","2.67%"
"Jun 04, 2021","25.800","25.750","26.020","25.450","0.41K","0.39%"
"Jun 03, 2021","25.700","26.250","26.250","25.680","0.47K","-0.12%"
"Jun 02, 2021","25.730","25.700","26.100","25.280","1.03K","-0.96%"
"Jun 01, 2021","25.980","25.180","26.230","25.180","0.77K","4.21%"
"May 28, 2021","24.930","25.100","25.200","24.620","0.40K","-1.07%"
"May 27, 2021","25.200","25.640","26.100","25.270","0.56K","-4.65%"
"May 26, 2021","26.430","26.770","26.910","26.400","0.71K","0.92%"
"May 25, 2021","26.190","25.250","26.150","25.250","0.86K","5.78%"
"May 24, 2021","24.760","24.480","24.850","24.450","0.40K","-0.16%"
"May 21, 2021","24.800","25.300","25.550","24.600","0.98K","0.49%"
"May 20, 2021","24.680","23.100","24.570","23.050","0.94K","8.91%"
"May 19, 2021","22.660","24.050","24.120","22.570","1.00K","-8.67%"
"May 18, 2021","24.810","25.400","25.770","24.640","1.31K","-5.70%"
"May 17, 2021","26.310","26.100","26.630","25.700","1.23K","-1.94%"
"May 14, 2021","26.830","26.350","26.880","26.350","0.67K","2.21%"
"May 13, 2021","26.250","25.750","26.300","24.980","1.37K","-0.64%"
"May 12, 2021","26.420","26.440","26.450","25.800","1.12K","2.40%"
"May 11, 2021","25.800","24.800","26.000","24.750","0.97K","2.42%"
"May 10, 2021","25.190","25.180","25.200","24.820","1.09K","5.22%"
"May 07, 2021","23.940","24.230","24.230","23.880","0.69K","-1.60%"
"May 06, 2021","24.330","24.130","24.950","24.130","1.08K","1.54%"
"May 05, 2021","23.960","23.400","23.960","23.320","0.63K","3.95%"
"May 04, 2021","23.050","24.110","24.110","23.000","0.72K","-3.23%"
"May 03, 2021","23.820","23.820","23.820","23.820","-","2.28%"
"Apr 30, 2021","23.290","22.960","23.320","22.730","0.77K","3.51%"
"Apr 29, 2021","22.500","21.660","22.570","21.570","0.47K","4.41%"
"Apr 28, 2021","21.550","21.790","22.020","21.550","0.71K","0.65%"
"Apr 27, 2021","21.410","19.930","21.500","19.750","0.74K","7.05%"
"Apr 26, 2021","20.000","20.200","20.460","19.980","0.95K","-0.25%"
"Apr 23, 2021","20.050","20.800","20.800","19.710","0.18K","-6.18%"
"Apr 22, 2021","21.370","21.300","21.540","21.300","0.46K","1.23%"
"Apr 21, 2021","21.110","21.020","21.250","20.850","2.02K","0.19%"
"Apr 20, 2021","21.070","20.850","21.340","20.680","1.40K","0.62%"
"Apr 19, 2021","20.940","20.880","21.120","20.850","1.43K","1.95%"
"Apr 16, 2021","20.540","20.620","20.800","20.500","0.43K","1.38%"
"Apr 15, 2021","20.260","19.900","20.390","19.850","0.60K","2.95%"
"Apr 14, 2021","19.680","19.600","19.770","19.600","2.03K","0.87%"
"Apr 13, 2021","19.510","19.720","19.850","19.470","1.16K","-0.71%"
"Apr 12, 2021","19.650","19.390","19.730","19.260","1.48K","3.75%"
"Apr 09, 2021","18.940","19.350","19.360","18.900","1.18K","-0.26%"
"Apr 08, 2021","18.990","19.320","19.450","18.980","0.63K","-1.56%"
"Apr 07, 2021","19.290","19.650","19.730","19.180","0.83K","-2.48%"
"Apr 06, 2021","19.780","19.750","19.820","19.600","0.39K","3.18%"
"Apr 05, 2021","19.170","19.170","19.170","19.170","-","0.00%"
"Apr 01, 2021","19.170","19.000","19.270","19.000","-","0.89%"
"Mar 31, 2021","19.000","19.050","19.170","18.700","0.48K","1.06%"
